ym,exposure_group,ln_parados,ln_contratos,parados_contratos,parados,contratos,ln_total_parados,ln_total_contratos
2025m10,middle,5.8987932,4.6420617,1.4118292,260880,124158,12.471816,11.72931
2025m10,high,6.1987758,4.4782162,1.8842688,455780,55035,13.029765,10.915725
2025m11,zero,6.0127487,4.5385361,1.5147172,690489,204432,13.445155,12.227991
2025m11,middle,5.8988094,4.3743443,1.6761031,259865,109185,12.467917,11.600799
2025m11,high,6.2035184,4.3433223,2.051604,453785,47260,13.025379,10.763419
2025m12,zero,6.0226817,4.3328447,1.7180312,690919,188094,13.445778,12.144697
2025m12,middle,5.9084949,4.2443109,1.8123678,260257,109099,12.469425,11.600011
2025m12,high,6.1987138,4.1377516,2.243495,452244,40843,13.021977,10.617491
2026m1,zero,6.0266519,4.6185999,1.4754282,693963,193698,13.450174,12.174055
2026m1,middle,5.9075785,4.4885674,1.6848809,261509,97238,12.474224,11.484917
2026m1,high,6.2055659,4.2502966,2.0905313,455868,41775,13.029959,10.640054
2026m2,zero,6.0175791,4.548749,1.5530782,692393,179728,13.447909,12.0992
2026m2,middle,5.903039,4.3722186,1.7229348,260099,94081,12.468818,11.451911
2026m2,high,6.2017817,4.2487197,2.1205609,455355,42502,13.028832,10.657307
2026m3,zero,6.0148301,4.6333447,1.4367903,685716,207171,13.438219,12.2413
2026m3,middle,5.8859024,4.4459653,1.5997423,258343,110359,12.462044,11.611494
2026m3,high,6.2150321,4.4131579,1.9836975,452481,49677,13.022501,10.813297
