category,period,period_date,exposure_group,ln_parados,ln_contratos,ln_parados_contratos
<18,2024-12,2024-12-01,high,1.476603427173198,1.71273176305051,0.0850701521495379
<18,2024-12,2024-12-01,middle,2.121190690789025,2.293715874106542,0.1473914972620675
<18,2024-12,2024-12-01,zero,1.9190318917273508,1.8733048989994519,0.4303349331296127
<18,2025-01,2025-01-01,high,1.4106418488545458,1.4063912138496781,0.5224897991851396
<18,2025-01,2025-01-01,middle,2.126665038062334,2.252788783276851,0.23368219787587508
<18,2025-01,2025-01-01,zero,1.8588150901041647,1.7138590711773032,0.4703941948066915
<18,2025-02,2025-02-01,high,1.542353285786007,1.3357822671773583,0.5795484599510233
<18,2025-02,2025-02-01,middle,2.065050402351747,2.560122497467676,0.05447238819310417
<18,2025-02,2025-02-01,zero,1.9741792670551324,1.5970886975135146,0.625070187817982
<18,2025-03,2025-03-01,high,1.6726529219482758,1.5316492689319894,0.3862485031969268
<18,2025-03,2025-03-01,middle,1.9913869271975886,2.140261960602939,0.17925287523179037
<18,2025-03,2025-03-01,zero,1.956743497599662,1.6749049207820654,0.6211767529138998
<18,2025-04,2025-04-01,high,1.5939329068915034,1.6043093202716836,0.1637116346959793
<18,2025-04,2025-04-01,middle,2.066484413445622,2.297525220429883,0.12351167454916459
<18,2025-04,2025-04-01,zero,1.9438672217327166,1.7058214806911944,0.617569261330502
<18,2025-05,2025-05-01,high,1.6332114986672643,1.6078293854033048,0.39782422497093534
<18,2025-05,2025-05-01,middle,2.1202563982969327,2.335767417913199,0.22226348604145402
<18,2025-05,2025-05-01,zero,1.9573119317319974,1.7388095811097835,0.3565085860260178
<18,2025-06,2025-06-01,high,1.7096986524272322,2.082993939605092,-0.4459938563293648
<18,2025-06,2025-06-01,middle,1.9953681205487843,2.4110249361229363,-0.5052004296883804
<18,2025-06,2025-06-01,zero,2.0069925788954968,2.328044328651752,-0.5866794762621756
<18,2025-07,2025-07-01,high,1.594685852912203,2.0151701750651667,-0.38058520471140794
<18,2025-07,2025-07-01,middle,2.020176863340186,2.5813457589247926,-0.7554661453547745
<18,2025-07,2025-07-01,zero,2.0756075037550166,2.5230421902611306,-0.7677642665143042
<18,2025-08,2025-08-01,high,1.5482517340516762,1.6293141380179776,-0.001853121352261503
<18,2025-08,2025-08-01,middle,1.9460061739919028,2.4793557319570247,-0.12347488473089072
<18,2025-08,2025-08-01,zero,2.2028109174567945,2.015413490596204,0.09730497133275275
<18,2025-09,2025-09-01,high,1.6279277243698558,1.8170850927385653,0.21807319232407457
<18,2025-09,2025-09-01,middle,1.7942194893083445,2.3447434786290438,-0.3186763341144997
<18,2025-09,2025-09-01,zero,2.1817021568325052,1.9535697646001629,0.14720854305097184
<18,2025-10,2025-10-01,high,1.70676502426127,1.7162764235999777,0.5896392262599025
<18,2025-10,2025-10-01,middle,1.844113422191772,2.485672308136527,-0.027254845016437566
<18,2025-10,2025-10-01,zero,2.0785845161575143,1.8174689692860047,0.33579752590740736
<18,2025-11,2025-11-01,high,1.5557564150416634,1.756349830812594,0.4434408761130566
<18,2025-11,2025-11-01,middle,1.9708949392714596,2.6106887547724984,0.20778403692649924
<18,2025-11,2025-11-01,zero,2.0144045671437265,1.7481735423899205,0.4194348720876309
<18,2025-12,2025-12-01,high,1.5424571773408495,1.6597567079244442,0.319706971734463
<18,2025-12,2025-12-01,middle,1.9034492226891266,2.3639207780820395,0.053365307236466736
<18,2025-12,2025-12-01,zero,1.9432831949843026,1.713853755012276,0.39458802320473746
<18,2026-01,2026-01-01,high,1.5690920942654443,1.487102230101311,0.6720188929203148
<18,2026-01,2026-01-01,middle,1.8609671031988881,2.227999535516474,0.08146307508151689
