term,beta_log_points,se,p_value_normal,ci95_low,ci95_high,effect_pct,event_time,pretrend_wald_chi2,pretrend_df,pretrend_p_value,nobs,clusters,fe_cols,fe_groups
event_p23,-0.0018688692052398204,0.045943223322344844,0.9675527607483785,-0.0919175869170357,0.08817984850655607,-0.18671239565698494,23,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p24,-0.00645064089398089,0.04883191861697752,0.8949060957680384,-0.10216120138325682,0.08925991959529506,-0.6429880173978497,24,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p25,-0.008084665786472767,0.051132481418782384,0.8743684388317328,-0.10830432936728623,0.0921349977943407,-0.8052072769726526,25,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p26,-0.009074428377994315,0.05219205611393926,0.861970708177318,-0.11137085836131526,0.09322200160532663,-0.9033380010127878,26,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p27,-0.01681547532417813,0.05233330421276647,0.7479716948827464,-0.1193887515812004,0.08575780093284414,-1.6674884356662534,27,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p28,-0.025952227956010886,0.0548099574180201,0.6358602343346675,-0.13337974449533027,0.08147528858330849,-2.5618363300673797,28,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p29,-0.014813539729311737,0.05568531932533644,0.7902219931417891,-0.12395676560697116,0.09432968614834769,-1.4704359032049807,29,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p30,-0.013309023915332858,0.05680151323113652,0.8147462179769833,-0.12463998984836043,0.09802194201769472,-1.322085045754906,30,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p31,-0.007299105014774508,0.05577909415105359,0.8958881461856698,-0.11662612955083954,0.10202791952129053,-0.7272531241993341,31,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p32,-0.00551343093420157,0.05570212542252497,0.9211536571815042,-0.11468959676235052,0.10366273489394737,-0.5498259868215505,32,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p33,-0.006134547880693553,0.05699574233910531,0.9142878606673921,-0.11784620286533995,0.10557710710395285,-0.6115769959483708,33,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p34,0.002325359897820359,0.05782958449158661,0.9679252598689068,-0.1110206257056894,0.11567134550133011,0.2328065644018995,34,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p35,-0.0054954222736735905,0.058174566104500836,0.9247403044485005,-0.11951757183849523,0.10852672729114804,-0.5480350062717632,35,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p36,0.0012051095634837555,0.06071651099347849,0.9841645185137444,-0.11779925198373407,0.12020947111070159,0.12058359997961787,36,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p37,-0.0004306269800677977,0.06338128612518248,0.9945790311866649,-0.12465794778542547,0.12379669382528988,-0.043053427357764296,37,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p38,0.005198669007010409,0.06439702046231106,0.9356579434218366,-0.12101949109911928,0.1314168291131401,0.5212205533874359,38,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p39,-0.013482729773863784,0.06395852606264132,0.8330400140416785,-0.13884144085664077,0.11187598130891321,-1.3392244890361171,39,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p40,-0.006576273935807609,0.06459936697640495,0.9189147083400966,-0.13319103320956133,0.1200384853379461,-0.6554697569641665,40,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p41,-0.0049634264387301286,0.06521288818023023,0.9393306874571499,-0.1327806872719814,0.12285383439452113,-0.4951128991960596,41,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p42,0.003987900797170724,0.06562451801982322,0.9515436103830008,-0.1246361545216828,0.13261195611602425,0.39958630542669127,42,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
